         328516 function calls (321470 primitive calls) in 14.906 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      603    0.002    0.000    0.012    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:149(to_rgba)
      330    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\contextlib.py:81(__init__)
     1027    0.002    0.000    0.008    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:2470(composite_transform_factory)
      246    0.002    0.000    0.002    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\artist.py:74(__init__)
      588    0.002    0.000    0.008    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1962(translate)
      100    0.002    0.000    1.643    0.016 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\animation.py:1221(_blit_draw)
      771    0.001    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:2299(__init__)
      104    0.001    0.000    0.082    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
      236    0.001    0.000    0.003    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\core\_methods.py:63(_clip_dep_is_scalar_nan)
      145    0.001    0.000    0.002    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1357(_register)
      419    0.001    0.000    0.003    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\font_manager.py:1058(score_family)
     5494    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      122    0.001    0.000    0.039    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backend_bases.py:1314(__init__)
     1735    0.001    0.000    0.001    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:3379(shape)
       70    0.001    0.000    0.006    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\lines.py:667(recache)
      549    0.001    0.000    0.006    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1976(scale)
      824    0.001    0.000    0.280    0.000 <__array_function__ internals>:2(roll)
      178    0.001    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backend_bases.py:718(__init__)
     1303    0.001    0.000    0.004    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:126(invalidate)
     1280    0.001    0.000    0.001    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:249(<genexpr>)
      115    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      157    0.001    0.000    0.005    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\transforms.py:1930(rotate_deg)
      100    0.001    0.000    2.494    0.025 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\backends\_backend_tk.py:117(_on_timer)
  242/227    0.001    0.000    2.805    0.012 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1700(__call__)
     2544    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      510    0.001    0.000    0.095    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\site-packages\numpy\ma\core.py:6457(array)
       96    0.001    0.000    0.009    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\lines.py:751(draw)
       32    0.001    0.000    0.001    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     6265    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000002039435E400}
       78    0.001    0.000    0.012    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\text.py:655(draw)
     1540    0.001    0.000    0.004    0.000 C:\Users\ryank\AppData\Local\Programs\Python\Python37\lib\tkinter\__init__.py:1394(getint_event)
     4204    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
        1    0.001    0.001    0.010    0.010 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\colors.py:254(to_rgba_array)
      270    0.001    0.000    0.006    0.000 C:\Users\ryank\AppData\Roaming\Python\Python37\site-packages\matplotlib\artist.py:942(update)
      206    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
